user_id,lang1_count,lang2_count,lang3_count,lang4_count,lang5_count,lang6_count,lang7_count,lang8_count,lang9_count,lang10_count,lang1_norm_count,lang2_norm_count,lang3_norm_count,lang4_norm_count,lang5_norm_count,lang6_norm_count,lang7_norm_count,lang8_norm_count,lang9_norm_count,lang10_norm_count
733,13,42,9,46,5,38,4,47,44,16,0.8277263712896145,0.3228449340406581,0.2741604036988191,0.2563044506533691,0.2513320537405661,0.2461170068756794,0.2348553102567439,0.207993000124812,0.1915162566409897,0.1915162566409897
734,13,44,46,5,38,9,28,6,47,42,0.7349850695694082,0.4964262082366725,0.4959110879240719,0.3902088492655634,0.3482490052114369,0.3059328039752558,0.278194363872498,0.2699682092135054,0.2656048581536075,0.2610557776673281
735,13,46,31,5,10,16,38,1,9,44,0.7724673746761755,0.3522829653851158,0.2461170068756794,0.2287458041304111,0.207993000124812,0.2000718021862013,0.1822158491407513,0.1822158491407513,0.1174276551283719,0.0979398038504438
736,13,42,9,46,5,38,44,16,26,31,0.7457326050607246,0.4525720343083179,0.302834405643029,0.2563044506533691,0.1720284053630616,0.1607667087441261,0.1339043986121942,0.0979398038504438,0.0740886015126178,0.0433390536157541
737,13,42,38,9,46,5,44,4,16,32,0.7873453353696641,0.4938254167160713,0.4703683903307638,0.4302588046626653,0.3721002075492629,0.3599210181038771,0.3147230087980072,0.2513320537405661,0.2406344072853893,0.2000718021862013
738,13,38,46,9,5,44,47,4,16,31,0.7758317721286488,0.4056894321561889,0.3653114337660827,0.3089439117693617,0.2929608747429167,0.2513320537405661,0.2222658045378533,0.2153674589788157,0.2153674589788157,0.1915162566409897
739,13,46,42,44,38,5,9,1,31,10,0.8628272259331075,0.5657868384129046,0.4964262082366725,0.4340096196164949,0.3873958643418773,0.3522829653851158,0.3228449340406581,0.3147230087980072,0.302834405643029,0.2741604036988191
740,13,46,5,9,16,44,1,31,14,47,0.8132913179446449,0.3670494762555346,0.3089439117693617,0.2963544060504712,0.2563044506533691,0.2348553102567439,0.2153674589788157,0.1915162566409897,0.1915162566409897,0.1822158491407513
741,13,46,9,5,47,16,44,38,4,31,0.7577497620557131,0.4943506622840186,0.419208975819716,0.3617481952125225,0.346173459258783,0.3279357656004687,0.3089439117693617,0.2858324165912593,0.2461170068756794,0.2406344072853893
742,13,46,38,9,42,4,5,16,44,20,0.7456827160245849,0.2858324165912593,0.2610557776673281,0.2513320537405661,0.2461170068756794,0.1822158491407513,0.1607667087441261,0.1174276551283719,0.0979398038504438,0.0979398038504438
