movie_id,actor_1_id,actor_2_id,actor_3_id,actor_4_id,actor_5_id
354,1372.0,4853.0,3606.0,4794.0,4461.0
355,428.0,4085.0,2991.0,1702.0,267.0
356,291.0,1526.0,350.0,4052.0,1642.0
357,564.0,4261.0,3551.0,336.0,4792.0
358,3968.0,420.0,3718.0,2242.0,3351.0
359,656.0,3836.0,473.0,573.0,3044.0
360,4094.0,252.0,4124.0,1872.0,4398.0
361,3786.0,3846.0,4787.0,4674.0,492.0
362,3568.0,1468.0,1818.0,368.0,566.0
363,152.0,3844.0,506.0,4224.0,4803.0
364,765.0,4048.0,324.0,3189.0,3903.0
365,508.0,638.0,3359.0,4095.0,2875.0
366,3425.0,3407.0,2527.0,3473.0,4651.0
367,363.0,18.0,4551.0,932.0,2741.0
368,632.0,309.0,329.0,100.0,4344.0
369,3075.0,4532.0,2457.0,856.0,2874.0
370,1074.0,4101.0,4136.0,336.0,4705.0
371,4046.0,4696.0,1079.0,3791.0,3993.0
372,1204.0,373.0,2093.0,3429.0,3808.0
373,131.0,4186.0,4709.0,3934.0,4763.0
374,394.0,76.0,2990.0,3558.0,4343.0
375,2812.0,3574.0,3584.0,2925.0,3833.0
376,280.0,3481.0,2464.0,1425.0,2452.0
377,90.0,4388.0,4001.0,636.0,1647.0
378,1276.0,2251.0,3517.0,4083.0,3915.0
379,1338.0,4301.0,950.0,2197.0,3769.0
380,4293.0,4762.0,4053.0,4355.0,3474.0
381,70.0,2133.0,4511.0,3684.0,4824.0
382,450.0,709.0,1197.0,4534.0,4707.0
383,706.0,377.0,1015.0,490.0,2086.0
384,2251.0,3518.0,973.0,4585.0,3397.0
385,641.0,3689.0,4481.0,4282.0,3937.0
386,237.0,613.0,1687.0,3949.0,1884.0
387,373.0,24.0,4722.0,1623.0,2644.0
388,1456.0,237.0,1437.0,828.0,548.0
389,3747.0,713.0,469.0,250.0,4462.0
390,784.0,493.0,1635.0,731.0,3113.0
391,3346.0,3922.0,377.0,14.0,4095.0
392,724.0,3836.0,4564.0,4093.0,3827.0
393,152.0,494.0,2813.0,428.0,457.0
394,250.0,177.0,659.0,3458.0,908.0
